n	dist1	dist2	mafa	mafe	beta0	beta1	beta_AFR	beta_EUR	sigma2	tau2	iter	No
2000	8	2	0.2	0.3	1	1	0	0	1	1	100	1
2000	8	2	0.2	0.3	1	1	0.1	0	1	1	100	2
2000	8	2	0.2	0.3	1	1	0.2	0	1	1	100	3
2000	8	2	0.2	0.3	1	1	0.3	0	1	1	100	4
2000	8	2	0.2	0.3	1	1	0.4	0	1	1	100	5
2000	8	2	0.2	0.3	1	1	0.5	0	1	1	100	6
2000	8	2	0.2	0.3	1	1	0.6	0	1	1	100	7
2000	8	2	0.2	0.3	1	1	0.7	0	1	1	100	8
2000	8	2	0.2	0.3	1	1	0.8	0	1	1	100	9
2000	8	2	0.2	0.3	1	1	0.9	0	1	1	100	10
2000	8	2	0.2	0.3	1	1	1	0	1	1	100	11
2000	8	2	0.2	0.3	1	1	0	0	1	1	100	12
2000	8	2	0.2	0.3	1	1	0	0.1	1	1	100	13
2000	8	2	0.2	0.3	1	1	0	0.2	1	1	100	14
2000	8	2	0.2	0.3	1	1	0	0.3	1	1	100	15
2000	8	2	0.2	0.3	1	1	0	0.4	1	1	100	16
2000	8	2	0.2	0.3	1	1	0	0.5	1	1	100	17
2000	8	2	0.2	0.3	1	1	0	0.6	1	1	100	18
2000	8	2	0.2	0.3	1	1	0	0.7	1	1	100	19
2000	8	2	0.2	0.3	1	1	0	0.8	1	1	100	20
2000	8	2	0.2	0.3	1	1	0	0.9	1	1	100	21
2000	8	2	0.2	0.3	1	1	0	1	1	1	100	22
2000	8	2	0.2	0.3	1	1	0	0	1	1	100	23
2000	8	2	0.2	0.3	1	1	0.1	0.1	1	1	100	24
2000	8	2	0.2	0.3	1	1	0.2	0.2	1	1	100	25
2000	8	2	0.2	0.3	1	1	0.3	0.3	1	1	100	26
2000	8	2	0.2	0.3	1	1	0.4	0.4	1	1	100	27
2000	8	2	0.2	0.3	1	1	0.5	0.5	1	1	100	28
2000	8	2	0.2	0.3	1	1	0.6	0.6	1	1	100	29
2000	8	2	0.2	0.3	1	1	0.7	0.7	1	1	100	30
2000	8	2	0.2	0.3	1	1	0.8	0.8	1	1	100	31
2000	8	2	0.2	0.3	1	1	0.9	0.9	1	1	100	32
2000	8	2	0.2	0.3	1	1	1	1	1	1	100	33
2000	8	2	0.2	0.3	1	1	0	0	1	1	100	34
2000	8	2	0.2	0.3	1	1	0.1	0.07	1	1	100	35
2000	8	2	0.2	0.3	1	1	0.2	0.14	1	1	100	36
2000	8	2	0.2	0.3	1	1	0.3	0.21	1	1	100	37
2000	8	2	0.2	0.3	1	1	0.4	0.28	1	1	100	38
2000	8	2	0.2	0.3	1	1	0.5	0.35	1	1	100	39
2000	8	2	0.2	0.3	1	1	0.6	0.42	1	1	100	40
2000	8	2	0.2	0.3	1	1	0.7	0.49	1	1	100	41
2000	8	2	0.2	0.3	1	1	0.8	0.56	1	1	100	42
2000	8	2	0.2	0.3	1	1	0.9	0.63	1	1	100	43
2000	8	2	0.2	0.3	1	1	1	0.7	1	1	100	44
2000	8	2	0.2	0.3	1	1	0	0	1	1	100	45
2000	8	2	0.2	0.3	1	1	0.07	0.1	1	1	100	46
2000	8	2	0.2	0.3	1	1	0.14	0.2	1	1	100	47
2000	8	2	0.2	0.3	1	1	0.21	0.3	1	1	100	48
2000	8	2	0.2	0.3	1	1	0.28	0.4	1	1	100	49
2000	8	2	0.2	0.3	1	1	0.35	0.5	1	1	100	50
2000	8	2	0.2	0.3	1	1	0.42	0.6	1	1	100	51
2000	8	2	0.2	0.3	1	1	0.49	0.7	1	1	100	52
2000	8	2	0.2	0.3	1	1	0.56	0.8	1	1	100	53
2000	8	2	0.2	0.3	1	1	0.63	0.9	1	1	100	54
2000	8	2	0.2	0.3	1	1	0.7	1	1	1	100	55
2000	8	2	0.2	0.3	1	1	0	0	1	1	100	56
2000	8	2	0.2	0.3	1	1	0.1	0.05	1	1	100	57
2000	8	2	0.2	0.3	1	1	0.2	0.1	1	1	100	58
2000	8	2	0.2	0.3	1	1	0.3	0.15	1	1	100	59
2000	8	2	0.2	0.3	1	1	0.4	0.2	1	1	100	60
2000	8	2	0.2	0.3	1	1	0.5	0.25	1	1	100	61
2000	8	2	0.2	0.3	1	1	0.6	0.3	1	1	100	62
2000	8	2	0.2	0.3	1	1	0.7	0.35	1	1	100	63
2000	8	2	0.2	0.3	1	1	0.8	0.4	1	1	100	64
2000	8	2	0.2	0.3	1	1	0.9	0.45	1	1	100	65
2000	8	2	0.2	0.3	1	1	1	0.5	1	1	100	66
2000	8	2	0.2	0.3	1	1	0	0	1	1	100	67
2000	8	2	0.2	0.3	1	1	0.05	0.1	1	1	100	68
2000	8	2	0.2	0.3	1	1	0.1	0.2	1	1	100	69
2000	8	2	0.2	0.3	1	1	0.15	0.3	1	1	100	70
2000	8	2	0.2	0.3	1	1	0.2	0.4	1	1	100	71
2000	8	2	0.2	0.3	1	1	0.25	0.5	1	1	100	72
2000	8	2	0.2	0.3	1	1	0.3	0.6	1	1	100	73
2000	8	2	0.2	0.3	1	1	0.35	0.7	1	1	100	74
2000	8	2	0.2	0.3	1	1	0.4	0.8	1	1	100	75
2000	8	2	0.2	0.3	1	1	0.45	0.9	1	1	100	76
2000	8	2	0.2	0.3	1	1	0.5	1	1	1	100	77
2000	8	2	0.2	0.3	1	1	0	0	1	1	100	78
2000	8	2	0.2	0.3	1	1	0.1	0.03	1	1	100	79
2000	8	2	0.2	0.3	1	1	0.2	0.06	1	1	100	80
2000	8	2	0.2	0.3	1	1	0.3	0.09	1	1	100	81
2000	8	2	0.2	0.3	1	1	0.4	0.12	1	1	100	82
2000	8	2	0.2	0.3	1	1	0.5	0.15	1	1	100	83
2000	8	2	0.2	0.3	1	1	0.6	0.18	1	1	100	84
2000	8	2	0.2	0.3	1	1	0.7	0.21	1	1	100	85
2000	8	2	0.2	0.3	1	1	0.8	0.24	1	1	100	86
2000	8	2	0.2	0.3	1	1	0.9	0.27	1	1	100	87
2000	8	2	0.2	0.3	1	1	1	0.3	1	1	100	88
2000	8	2	0.2	0.3	1	1	0	0	1	1	100	89
2000	8	2	0.2	0.3	1	1	0.03	0.1	1	1	100	90
2000	8	2	0.2	0.3	1	1	0.06	0.2	1	1	100	91
2000	8	2	0.2	0.3	1	1	0.09	0.3	1	1	100	92
2000	8	2	0.2	0.3	1	1	0.12	0.4	1	1	100	93
2000	8	2	0.2	0.3	1	1	0.15	0.5	1	1	100	94
2000	8	2	0.2	0.3	1	1	0.18	0.6	1	1	100	95
2000	8	2	0.2	0.3	1	1	0.21	0.7	1	1	100	96
2000	8	2	0.2	0.3	1	1	0.24	0.8	1	1	100	97
2000	8	2	0.2	0.3	1	1	0.27	0.9	1	1	100	98
2000	8	2	0.2	0.3	1	1	0.3	1	1	1	100	99
